STATUS;VALID_ON;LOT_TYPE_FK;CDE_INTERNAL_RATING;CCY_ISO_CURRENCY;DES_INTERNAL_RATING;IDE_COUNTERPARTY_REF;IDE_LIMIT_REF;IDE_RATING_INT_REF;IDE_CONTRACT_REF;IDE_INTERNAL_PARTY_REF;IDE_INTERNAL_ONE;IDE_INTERNAL_TWO;TYP_CREDIT_ASSESSMENT
5;20240331;1;2;EUR;;GRP_0950436;;POS_021645;CON_0950436;CTP_CKV;25/04/2003;;
5;20240331;1;2;EUR;;GRP_0950437;;POS_021649;CON_0950437;CTP_CKV;29/04/2003;;
5;20240331;1;2;EUR;;GRP_0950465;;POS_021734;CON_0950465;CTP_CKV;27/06/2003;;
5;20240331;1;2;EUR;;GRP_0950482;;POS_021790;CON_0950482;CTP_CKV;06/08/2003;;
5;20240331;1;2;EUR;;GRP_0950512;;POS_021861;CON_0950512;CTP_CKV;08/10/2003;;
5;20240331;1;2;EUR;;GRP_0950535;;POS_021926;CON_0950535;CTP_CKV;27/11/2003;;
5;20240331;1;2;EUR;;GRP_0950536;;POS_021932;CON_0950536;CTP_CKV;28/11/2003;;
5;20240331;1;2;EUR;;GRP_0950542;;POS_021944;CON_0950542;CTP_CKV;08/12/2003;;
5;20240331;1;2;EUR;;GRP_0950553;;POS_021969;CON_0950553;CTP_CKV;18/12/2003;;
5;20240331;1;2;EUR;;GRP_0950565;;POS_022003;CON_0950565;CTP_CKV;31/12/2010;;
5;20240331;1;2;EUR;;GRP_0950572;;POS_022018;CON_0950572;CTP_CKV;10/02/2004;;
5;20240331;1;2;EUR;;GRP_0950576;;POS_022031;CON_0950576;CTP_CKV;16/02/2004;;
5;20240331;1;2;EUR;;GRP_0950588;;POS_022063;CON_0950588;CTP_CKV;11/03/2004;;
5;20240331;1;2;EUR;;GRP_0950599;;POS_022087;CON_0950599;CTP_CKV;29/03/2004;;
5;20240331;1;2;EUR;;GRP_0950600;;POS_022089;CON_0950600;CTP_CKV;30/03/2004;;
5;20240331;1;2;EUR;;GRP_0950603;;POS_022094;CON_0950603;CTP_CKV;05/04/2004;;
5;20240331;1;2;EUR;;GRP_0950605;;POS_022096;CON_0950605;CTP_CKV;07/04/2004;;
5;20240331;1;2;EUR;;GRP_0950606;;POS_022099;CON_0950606;CTP_CKV;01/12/2023;;
5;20240331;1;2;EUR;;GRP_0950634;;POS_022165;CON_0950634;CTP_CKV;07/02/2011;;
5;20240331;1;2;EUR;;GRP_0950636;;POS_022169;CON_0950636;CTP_CKV;22/06/2004;;
5;20240331;1;2;EUR;;GRP_0950645;;POS_022183;CON_0950645;CTP_CKV;01/07/2015;;
5;20240331;1;2;EUR;;GRP_0950649;;POS_022192;CON_0950649;CTP_CKV;14/07/2004;;
5;20240331;1;2;EUR;;GRP_0950660;;POS_022216;CON_0950660;CTP_CKV;12/08/2004;;
5;20240331;1;2;EUR;;GRP_0950671;;POS_022245;CON_0950671;CTP_CKV;27/09/2004;;
5;20240331;1;2;EUR;;GRP_0950672;;POS_022249;CON_0950672;CTP_CKV;30/09/2004;;
5;20240331;1;2;EUR;;GRP_0950693;;POS_022302;CON_0950693;CTP_CKV;02/12/2004;;
5;20240331;1;2;EUR;;GRP_0950699;;POS_022313;CON_0950699;CTP_CKV;01/12/2023;;
5;20240331;1;2;EUR;;GRP_0950703;;POS_022318;CON_0950703;CTP_CKV;15/04/2016;;
5;20240331;1;2;EUR;;GRP_0950712;;POS_022338;CON_0950712;CTP_CKV;29/12/2004;;
5;20240331;1;2;EUR;;GRP_0950720;;POS_022358;CON_0950720;CTP_CKV;26/01/2005;;
5;20240331;1;2;EUR;;GRP_0950727;;POS_022374;CON_0950727;CTP_CKV;02/02/2015;;
5;20240331;1;2;EUR;;GRP_0950730;;POS_022386;CON_0950730;CTP_CKV;25/02/2005;;
5;20240331;1;2;EUR;;GRP_0950731;;POS_022388;CON_0950731;CTP_CKV;28/02/2005;;
5;20240331;1;2;EUR;;GRP_0950737;;POS_022399;CON_0950737;CTP_CKV;09/03/2005;;
5;20240331;1;2;EUR;;GRP_0950743;;POS_022415;CON_0950743;CTP_CKV;22/03/2005;;
5;20240331;1;4;EUR;;GRP_0950751;;POS_022432;CON_0950751;CTP_CKV;27/09/2021;;
5;20240331;1;2;EUR;;GRP_0950753;;POS_022437;CON_0950753;CTP_CKV;07/04/2005;;
5;20240331;1;2;EUR;;GRP_0950763;;POS_022460;CON_0950763;CTP_CKV;25/04/2005;;
5;20240331;1;2;EUR;;GRP_0950765;;POS_022464;CON_0950765;CTP_CKV;27/04/2005;;
5;20240331;1;2;EUR;;GRP_0950774;;POS_022478;CON_0950774;CTP_CKV;02/05/2005;;
5;20240331;1;2;EUR;;GRP_0950775;;POS_022479;CON_0950775;CTP_CKV;02/05/2005;;
5;20240331;1;2;EUR;;GRP_0950776;;POS_022481;CON_0950776;CTP_CKV;03/05/2005;;
5;20240331;1;2;EUR;;GRP_0950777;;POS_022482;CON_0950777;CTP_CKV;03/05/2005;;
5;20240331;1;2;EUR;;GRP_0950787;;POS_022494;CON_0950787;CTP_CKV;11/05/2005;;
5;20240331;1;2;EUR;;GRP_0950789;;POS_022496;CON_0950789;CTP_CKV;12/05/2005;;
5;20240331;1;2;EUR;;GRP_0950790;;POS_022497;CON_0950790;CTP_CKV;12/05/2005;;
5;20240331;1;2;EUR;;GRP_0950799;;POS_022517;CON_0950799;CTP_CKV;27/05/2005;;
5;20240331;1;2;EUR;;GRP_0950806;;POS_022529;CON_0950806;CTP_CKV;06/06/2005;;
5;20240331;1;2;EUR;;GRP_0950809;;POS_022533;CON_0950809;CTP_CKV;07/06/2005;;
5;20240331;1;2;EUR;;GRP_0950811;;POS_022538;CON_0950811;CTP_CKV;20/01/2016;;
5;20240331;1;2;EUR;;GRP_0950812;;POS_022542;CON_0950812;CTP_CKV;14/06/2005;;
5;20240331;1;2;EUR;;GRP_0950820;;POS_022561;CON_0950820;CTP_CKV;29/06/2005;;
5;20240331;1;2;EUR;;GRP_0950827;;POS_022575;CON_0950827;CTP_CKV;05/07/2005;;
5;20240331;1;2;EUR;;GRP_0950829;;POS_022577;CON_0950829;CTP_CKV;06/07/2005;;
5;20240331;1;2;EUR;;GRP_0950839;;POS_022602;CON_0950839;CTP_CKV;27/07/2023;;
5;20240331;1;2;EUR;;GRP_0950848;;POS_022614;CON_0950848;CTP_CKV;26/07/2005;;
5;20240331;1;2;EUR;;GRP_0950854;;POS_022628;CON_0950854;CTP_CKV;04/08/2005;;
5;20240331;1;2;EUR;;GRP_0950861;;POS_022645;CON_0950861;CTP_CKV;16/08/2005;;
5;20240331;1;2;EUR;;GRP_0950866;;POS_022653;CON_0950866;CTP_CKV;01/06/2018;;
5;20240331;1;2;EUR;;GRP_0950869;;POS_022657;CON_0950869;CTP_CKV;23/08/2005;;
5;20240331;1;2;EUR;;GRP_0950871;;POS_022660;CON_0950871;CTP_CKV;24/08/2005;;
5;20240331;1;2;EUR;;GRP_0950875;;POS_022667;CON_0950875;CTP_CKV;26/08/2005;;
5;20240331;1;2;EUR;;GRP_0950901;;POS_022716;CON_0950901;CTP_CKV;26/09/2005;;
5;20240331;1;5;EUR;;GRP_0950918;;POS_022742;CON_0950918;CTP_CKV;02/10/2020;;
5;20240331;1;2;EUR;;GRP_0950941;;POS_022782;CON_0950941;CTP_CKV;25/10/2005;;
5;20240331;1;2;EUR;;GRP_0950943;;POS_022784;CON_0950943;CTP_CKV;26/10/2005;;
5;20240331;1;2;EUR;;GRP_0950948;;POS_022793;CON_0950948;CTP_CKV;28/10/2005;;
5;20240331;1;2;EUR;;GRP_0950950;;POS_022798;CON_0950950;CTP_CKV;03/03/2011;;
5;20240331;1;2;EUR;;GRP_0950968;;POS_022834;CON_0950968;CTP_CKV;23/11/2005;;
5;20240331;1;2;EUR;;GRP_0950985;;POS_022866;CON_0950985;CTP_CKV;12/12/2005;;
5;20240331;1;2;EUR;;GRP_0951002;;POS_022900;CON_0951002;CTP_CKV;28/12/2005;;
5;20240331;1;2;EUR;;GRP_0951018;;POS_022931;CON_0951018;CTP_CKV;31/01/2006;;
5;20240331;1;2;EUR;;GRP_0951038;;POS_022973;CON_0951038;CTP_CKV;06/03/2006;;
5;20240331;1;5;EUR;;GRP_0951045;;POS_022985;CON_0951045;CTP_CKV;30/08/2013;;
5;20240331;1;2;EUR;;GRP_0951051;;POS_022998;CON_0951051;CTP_CKV;30/03/2006;;
5;20240331;1;2;EUR;;GRP_0951085;;POS_023048;CON_0951085;CTP_CKV;30/05/2011;;
5;20240331;1;2;EUR;;GRP_0951093;;POS_023061;CON_0951093;CTP_CKV;30/12/2010;;
5;20240331;1;2;EUR;;GRP_0951096;;POS_023068;CON_0951096;CTP_CKV;29/06/2006;;
5;20240331;1;2;EUR;;GRP_0951118;;POS_023107;CON_0951118;CTP_CKV;03/12/2021;;
5;20240331;1;2;EUR;;GRP_0951125;;POS_023124;CON_0951125;CTP_CKV;03/11/2006;;
5;20240331;1;2;EUR;;GRP_0951129;;POS_023130;CON_0951129;CTP_CKV;15/11/2006;;
5;20240331;1;2;EUR;;GRP_0951133;;POS_023137;CON_0951133;CTP_CKV;06/12/2006;;
5;20240331;1;2;EUR;;GRP_0951144;;POS_023150;CON_0951144;CTP_CKV;09/01/2007;;
5;20240331;1;2;EUR;;GRP_0951151;;POS_023168;CON_0951151;CTP_CKV;12/03/2007;;
5;20240331;1;2;EUR;;GRP_0951158;;POS_023175;CON_0951158;CTP_CKV;31/01/2011;;
5;20240331;1;2;EUR;;GRP_0951161;;POS_023179;CON_0951161;CTP_CKV;31/01/2011;;
5;20240331;1;2;EUR;;GRP_0951179;;POS_023204;CON_0951179;CTP_CKV;08/06/2007;;
5;20240331;1;2;EUR;;GRP_0951195;;POS_023232;CON_0951195;CTP_CKV;29/02/2008;;
5;20240331;1;2;EUR;;GRP_0951215;;POS_023257;CON_0951215;CTP_CKV;02/07/2008;;
5;20240331;1;2;EUR;;GRP_0951217;;POS_023259;CON_0951217;CTP_CKV;07/07/2008;;
5;20240331;1;5;EUR;;GRP_0951231;;POS_023278;CON_0951231;CTP_CKV;10/12/2015;;
5;20240331;1;2;EUR;;GRP_0951247;;POS_023298;CON_0951247;CTP_CKV;03/10/2012;;
5;20240331;1;2;EUR;;GRP_0951250;;POS_023301;CON_0951250;CTP_CKV;16/10/2008;;
5;20240331;1;2;EUR;;GRP_0951251;;POS_023302;CON_0951251;CTP_CKV;16/10/2008;;
5;20240331;1;2;EUR;;GRP_0951254;;POS_023306;CON_0951254;CTP_CKV;17/07/2013;;
5;20240331;1;2;EUR;;GRP_0951257;;POS_023309;CON_0951257;CTP_CKV;06/12/2021;;
5;20240331;1;2;EUR;;GRP_0951260;;POS_023314;CON_0951260;CTP_CKV;28/10/2008;;
5;20240331;1;2;EUR;;GRP_0951275;;POS_023333;CON_0951275;CTP_CKV;10/12/2008;;
5;20240331;1;2;EUR;;GRP_0951303;;POS_023365;CON_0951303;CTP_CKV;26/01/2009;;
5;20240331;1;2;EUR;;GRP_0951311;;POS_023373;CON_0951311;CTP_CKV;04/02/2009;;
5;20240331;1;2;EUR;;GRP_0951318;;POS_023381;CON_0951318;CTP_CKV;16/02/2009;;
5;20240331;1;2;EUR;;GRP_0951339;;POS_023403;CON_0951339;CTP_CKV;20/12/2012;;
5;20240331;1;2;EUR;;GRP_0951349;;POS_023414;CON_0951349;CTP_CKV;20/04/2009;;
5;20240331;1;2;EUR;;GRP_0951350;;POS_023415;CON_0951350;CTP_CKV;22/04/2009;;
5;20240331;1;5;EUR;;GRP_0951377;;POS_023444;CON_0951377;CTP_CKV;27/06/2018;;
5;20240331;1;2;EUR;;GRP_0951389;;POS_023456;CON_0951389;CTP_CKV;26/06/2009;;
5;20240331;1;5;EUR;;GRP_0951392;;POS_023459;CON_0951392;CTP_CKV;02/02/2022;;
5;20240331;1;2;EUR;;GRP_0951393;;POS_023460;CON_0951393;CTP_CKV;29/06/2009;;
5;20240331;1;2;EUR;;GRP_0951396;;POS_023463;CON_0951396;CTP_CKV;29/06/2009;;
5;20240331;1;2;EUR;;GRP_0951399;;POS_023466;CON_0951399;CTP_CKV;02/07/2009;;
5;20240331;1;2;EUR;;GRP_0951404;;POS_023472;CON_0951404;CTP_CKV;07/07/2009;;
5;20240331;1;2;EUR;;GRP_0951416;;POS_023485;CON_0951416;CTP_CKV;13/07/2009;;
5;20240331;1;2;EUR;;GRP_0951420;;POS_023489;CON_0951420;CTP_CKV;31/12/2015;;
5;20240331;1;2;EUR;;GRP_0951425;;POS_023494;CON_0951425;CTP_CKV;16/07/2009;;
5;20240331;1;2;EUR;;GRP_0951429;;POS_023498;CON_0951429;CTP_CKV;17/07/2009;;
5;20240331;1;2;EUR;;GRP_0951439;;POS_023508;CON_0951439;CTP_CKV;30/07/2009;;
5;20240331;1;2;EUR;;GRP_0951443;;POS_023512;CON_0951443;CTP_CKV;28/01/2011;;
5;20240331;1;2;EUR;;GRP_0951444;;POS_023513;CON_0951444;CTP_CKV;04/08/2009;;
5;20240331;1;2;EUR;;GRP_0951445;;POS_023514;CON_0951445;CTP_CKV;06/08/2009;;
5;20240331;1;2;EUR;;GRP_0951455;;POS_023524;CON_0951455;CTP_CKV;11/08/2009;;
5;20240331;1;2;EUR;;GRP_0951463;;POS_023532;CON_0951463;CTP_CKV;19/08/2009;;
5;20240331;1;6;EUR;;GRP_0951471;;POS_023540;CON_0951471;CTP_CKV;12/10/2015;;
5;20240331;1;2;EUR;;GRP_0951491;;POS_023560;CON_0951491;CTP_CKV;01/09/2009;;
5;20240331;1;2;EUR;;GRP_0951496;;POS_023565;CON_0951496;CTP_CKV;04/09/2009;;
5;20240331;1;2;EUR;;GRP_0951498;;POS_023567;CON_0951498;CTP_CKV;04/09/2009;;
5;20240331;1;2;EUR;;GRP_0951502;;POS_023571;CON_0951502;CTP_CKV;08/09/2009;;
5;20240331;1;2;EUR;;GRP_0951507;;POS_023576;CON_0951507;CTP_CKV;12/06/2017;;
5;20240331;1;2;EUR;;GRP_0951514;;POS_023583;CON_0951514;CTP_CKV;23/07/2020;;
5;20240331;1;2;EUR;;GRP_0951516;;POS_023585;CON_0951516;CTP_CKV;15/09/2009;;
5;20240331;1;2;EUR;;GRP_0951527;;POS_023596;CON_0951527;CTP_CKV;17/09/2009;;
5;20240331;1;2;EUR;;GRP_0951528;;POS_023597;CON_0951528;CTP_CKV;17/09/2009;;
5;20240331;1;2;EUR;;GRP_0951538;;POS_023607;CON_0951538;CTP_CKV;23/09/2009;;
5;20240331;1;2;EUR;;GRP_0951542;;POS_023611;CON_0951542;CTP_CKV;16/08/2016;;
5;20240331;1;2;EUR;;GRP_0951544;;POS_023613;CON_0951544;CTP_CKV;25/09/2009;;
5;20240331;1;2;EUR;;GRP_0951548;;POS_023617;CON_0951548;CTP_CKV;28/09/2009;;
5;20240331;1;2;EUR;;GRP_0951554;;POS_023623;CON_0951554;CTP_CKV;29/09/2009;;
5;20240331;1;2;EUR;;GRP_0951558;;POS_023627;CON_0951558;CTP_CKV;20/11/2014;;
5;20240331;1;2;EUR;;GRP_0951564;;POS_023633;CON_0951564;CTP_CKV;03/06/2020;;
5;20240331;1;2;EUR;;GRP_0951565;;POS_023634;CON_0951565;CTP_CKV;11/01/2011;;
5;20240331;1;2;EUR;;GRP_0951567;;POS_023636;CON_0951567;CTP_CKV;05/10/2009;;
5;20240331;1;2;EUR;;GRP_0951571;;POS_023640;CON_0951571;CTP_CKV;06/10/2009;;
5;20240331;1;2;EUR;;GRP_0951575;;POS_023644;CON_0951575;CTP_CKV;08/10/2009;;
5;20240331;1;2;EUR;;GRP_0951576;;POS_023645;CON_0951576;CTP_CKV;08/10/2009;;
5;20240331;1;2;EUR;;GRP_0951580;;POS_023649;CON_0951580;CTP_CKV;12/10/2009;;
5;20240331;1;2;EUR;;GRP_0951599;;POS_023668;CON_0951599;CTP_CKV;16/10/2009;;
5;20240331;1;2;EUR;;GRP_0951603;;POS_023673;CON_0951603;CTP_CKV;19/10/2009;;
5;20240331;1;2;EUR;;GRP_0951612;;POS_023682;CON_0951612;CTP_CKV;26/10/2009;;
5;20240331;1;2;EUR;;GRP_0951625;;POS_023695;CON_0951625;CTP_CKV;30/10/2009;;
5;20240331;1;2;EUR;;GRP_0951631;;POS_023701;CON_0951631;CTP_CKV;02/11/2009;;
5;20240331;1;2;EUR;;GRP_0951634;;POS_023704;CON_0951634;CTP_CKV;29/10/2009;;
5;20240331;1;2;EUR;;GRP_0951639;;POS_023709;CON_0951639;CTP_CKV;06/11/2009;;
5;20240331;1;2;EUR;;GRP_0951643;;POS_023713;CON_0951643;CTP_CKV;09/11/2009;;
5;20240331;1;2;EUR;;GRP_0951645;;POS_023715;CON_0951645;CTP_CKV;09/11/2009;;
5;20240331;1;2;EUR;;GRP_0951652;;POS_023722;CON_0951652;CTP_CKV;12/11/2009;;
5;20240331;1;2;EUR;;GRP_0951658;;POS_023728;CON_0951658;CTP_CKV;16/11/2009;;
5;20240331;1;2;EUR;;GRP_0951660;;POS_023730;CON_0951660;CTP_CKV;16/11/2009;;
5;20240331;1;2;EUR;;GRP_0951671;;POS_023741;CON_0951671;CTP_CKV;24/11/2009;;
5;20240331;1;2;EUR;;GRP_0951674;;POS_023744;CON_0951674;CTP_CKV;06/01/2021;;
5;20240331;1;2;EUR;;GRP_0951691;;POS_023761;CON_0951691;CTP_CKV;18/05/2016;;
5;20240331;1;2;EUR;;GRP_0951692;;POS_023762;CON_0951692;CTP_CKV;02/12/2009;;
5;20240331;1;2;EUR;;GRP_0951696;;POS_023766;CON_0951696;CTP_CKV;12/01/2015;;
5;20240331;1;5;EUR;;GRP_0951702;;POS_023772;CON_0951702;CTP_CKV;19/01/2018;;
5;20240331;1;2;EUR;;GRP_0951703;;POS_023773;CON_0951703;CTP_CKV;07/12/2009;;
5;20240331;1;2;EUR;;GRP_0951708;;POS_023778;CON_0951708;CTP_CKV;09/12/2009;;
5;20240331;1;2;EUR;;GRP_0951718;;POS_023788;CON_0951718;CTP_CKV;13/11/2023;;
5;20240331;1;2;EUR;;GRP_0951721;;POS_023791;CON_0951721;CTP_CKV;14/12/2009;;
5;20240331;1;2;EUR;;GRP_0951726;;POS_023796;CON_0951726;CTP_CKV;30/05/2019;;
5;20240331;1;2;EUR;;GRP_0951727;;POS_023797;CON_0951727;CTP_CKV;16/12/2009;;
5;20240331;1;2;EUR;;GRP_0951728;;POS_023798;CON_0951728;CTP_CKV;17/12/2009;;
5;20240331;1;2;EUR;;GRP_0951736;;POS_023806;CON_0951736;CTP_CKV;18/12/2009;;
5;20240331;1;2;EUR;;GRP_0951738;;POS_023808;CON_0951738;CTP_CKV;21/12/2009;;
5;20240331;1;2;EUR;;GRP_0951743;;POS_023813;CON_0951743;CTP_CKV;21/12/2009;;
5;20240331;1;2;EUR;;GRP_0951745;;POS_023815;CON_0951745;CTP_CKV;22/12/2009;;
5;20240331;1;2;EUR;;GRP_0951747;;POS_023817;CON_0951747;CTP_CKV;06/07/2017;;
5;20240331;1;2;EUR;;GRP_0951751;;POS_023821;CON_0951751;CTP_CKV;23/12/2009;;
5;20240331;1;2;EUR;;GRP_0951753;;POS_023823;CON_0951753;CTP_CKV;23/12/2009;;
5;20240331;1;2;EUR;;GRP_0951763;;POS_023833;CON_0951763;CTP_CKV;24/12/2009;;
5;20240331;1;2;EUR;;GRP_0951767;;POS_023837;CON_0951767;CTP_CKV;04/01/2010;;
5;20240331;1;2;EUR;;GRP_0951774;;POS_023844;CON_0951774;CTP_CKV;08/01/2010;;
5;20240331;1;2;EUR;;GRP_0951776;;POS_023846;CON_0951776;CTP_CKV;12/01/2010;;
5;20240331;1;2;EUR;;GRP_0951778;;POS_023848;CON_0951778;CTP_CKV;12/01/2010;;
5;20240331;1;2;EUR;;GRP_0951784;;POS_023854;CON_0951784;CTP_CKV;10/10/2012;;
5;20240331;1;2;EUR;;GRP_0951799;;POS_023869;CON_0951799;CTP_CKV;17/08/2021;;
5;20240331;1;2;EUR;;GRP_0951806;;POS_023876;CON_0951806;CTP_CKV;29/04/2021;;
5;20240331;1;5;EUR;;GRP_0951810;;POS_023880;CON_0951810;CTP_CKV;06/12/2013;;
5;20240331;1;2;EUR;;GRP_0951814;;POS_023884;CON_0951814;CTP_CKV;05/05/2023;;
5;20240331;1;2;EUR;;GRP_0951816;;POS_023886;CON_0951816;CTP_CKV;29/01/2010;;
5;20240331;1;2;EUR;;GRP_0951818;;POS_023888;CON_0951818;CTP_CKV;29/01/2010;;
5;20240331;1;2;EUR;;GRP_0951822;;POS_023892;CON_0951822;CTP_CKV;02/02/2010;;
5;20240331;1;2;EUR;;GRP_0951837;;POS_023907;CON_0951837;CTP_CKV;11/02/2010;;
5;20240331;1;2;EUR;;GRP_0951844;;POS_023914;CON_0951844;CTP_CKV;15/02/2010;;
5;20240331;1;2;EUR;;GRP_0951854;;POS_023924;CON_0951854;CTP_CKV;02/11/2015;;
5;20240331;1;4;EUR;;GRP_0951864;;POS_023939;CON_0951864;CTP_CKV;24/04/2017;;
5;20240331;1;2;EUR;;GRP_0951867;;POS_023943;CON_0951867;CTP_CKV;05/03/2010;;
5;20240331;1;2;EUR;;GRP_0951873;;POS_023945;CON_0951873;CTP_CKV;08/03/2010;;
5;20240331;1;2;EUR;;GRP_0950008;;POS_023951;CON_0950008;CTP_CKV;22/03/2010;;
5;20240331;1;2;EUR;;GRP_0950011;;POS_023954;CON_0950011;CTP_CKV;26/03/2010;;
5;20240331;1;2;EUR;;GRP_0951880;;POS_023968;CON_0951880;CTP_CKV;12/04/2010;;
5;20240331;1;2;EUR;;GRP_0951882;;POS_023970;CON_0951882;CTP_CKV;12/04/2010;;
5;20240331;1;4;EUR;;GRP_0951885;;POS_023973;CON_0951885;CTP_CKV;20/01/2023;;
5;20240331;1;2;EUR;;GRP_0951894;;POS_023982;CON_0951894;CTP_CKV;28/04/2010;;
5;20240331;1;2;EUR;;GRP_0951894;;POS_023983;CON_0951894;CTP_CKV;28/04/2010;;
5;20240331;1;2;EUR;;GRP_0951895;;POS_023984;CON_0951895;CTP_CKV;28/04/2010;;
5;20240331;1;2;EUR;;GRP_0951909;;POS_023999;CON_0951909;CTP_CKV;11/05/2010;;
5;20240331;1;2;EUR;;GRP_0951923;;POS_024015;CON_0951923;CTP_CKV;29/11/2013;;
5;20240331;1;5;EUR;;GRP_0951925;;POS_024017;CON_0951925;CTP_CKV;11/02/2016;;
5;20240331;1;2;EUR;;GRP_0951942;;POS_024036;CON_0951942;CTP_CKV;17/06/2010;;
5;20240331;1;2;EUR;;GRP_0952159;;POS_024049;CON_0952159;CTP_CKV;28/06/2010;;
5;20240331;1;2;EUR;;GRP_0952159;;POS_024050;CON_0952159;CTP_CKV;28/06/2010;;
5;20240331;1;4;EUR;;GRP_0952163;;POS_024054;CON_0952163;CTP_CKV;26/06/2019;;
5;20240331;1;2;EUR;;GRP_0952164;;POS_024055;CON_0952164;CTP_CKV;02/07/2010;;
5;20240331;1;2;EUR;;GRP_0952170;;POS_024062;CON_0952170;CTP_CKV;25/08/2015;;
5;20240331;1;2;EUR;;GRP_0952172;;POS_024064;CON_0952172;CTP_CKV;08/07/2010;;
5;20240331;1;2;EUR;;GRP_0952177;;POS_024069;CON_0952177;CTP_CKV;15/07/2010;;
5;20240331;1;4;EUR;;GRP_0952192;;POS_024086;CON_0952192;CTP_CKV;04/07/2017;;
5;20240331;1;2;EUR;;GRP_0952205;;POS_024100;CON_0952205;CTP_CKV;17/08/2010;;
5;20240331;1;2;EUR;;GRP_0952206;;POS_024101;CON_0952206;CTP_CKV;17/08/2010;;
5;20240331;1;2;EUR;;GRP_0952214;;POS_024109;CON_0952214;CTP_CKV;20/08/2010;;
5;20240331;1;2;EUR;;GRP_0952229;;POS_024124;CON_0952229;CTP_CKV;20/08/2013;;
5;20240331;1;2;EUR;;GRP_0952230;;POS_024125;CON_0952230;CTP_CKV;09/09/2010;;
5;20240331;1;3;EUR;;GRP_0952231;;POS_024126;CON_0952231;CTP_CKV;01/02/2024;;
5;20240331;1;2;EUR;;GRP_0952254;;POS_024153;CON_0952254;CTP_CKV;25/10/2010;;
5;20240331;1;2;EUR;;GRP_0952271;;POS_024172;CON_0952271;CTP_CKV;15/02/2016;;
5;20240331;1;2;EUR;;GRP_0952272;;POS_024173;CON_0952272;CTP_CKV;17/12/2014;;
5;20240331;1;2;EUR;;GRP_0952273;;POS_024174;CON_0952273;CTP_CKV;17/11/2010;;
5;20240331;1;2;EUR;;GRP_0952288;;POS_024189;CON_0952288;CTP_CKV;07/12/2010;;
5;20240331;1;4;EUR;;GRP_0952293;;POS_024195;CON_0952293;CTP_CKV;06/03/2019;;
5;20240331;1;2;EUR;;GRP_0952306;;POS_024208;CON_0952306;CTP_CKV;22/12/2010;;
5;20240331;1;2;EUR;;GRP_0952314;;POS_024217;CON_0952314;CTP_CKV;10/01/2011;;
5;20240331;1;2;EUR;;GRP_0952320;;POS_024223;CON_0952320;CTP_CKV;21/01/2011;;
5;20240331;1;2;EUR;;GRP_0952328;;POS_024233;CON_0952328;CTP_CKV;04/02/2011;;
5;20240331;1;2;EUR;;GRP_0952336;;POS_024243;CON_0952336;CTP_CKV;17/02/2011;;
5;20240331;1;2;EUR;;GRP_0952338;;POS_024245;CON_0952338;CTP_CKV;24/01/2024;;
5;20240331;1;2;EUR;;GRP_0952341;;POS_024248;CON_0952341;CTP_CKV;07/03/2011;;
5;20240331;1;2;EUR;;GRP_0952342;;POS_024249;CON_0952342;CTP_CKV;08/03/2011;;
5;20240331;1;2;EUR;;GRP_0952349;;POS_024256;CON_0952349;CTP_CKV;14/03/2011;;
5;20240331;1;4;EUR;;GRP_0952355;;POS_024263;CON_0952355;CTP_CKV;25/04/2013;;
5;20240331;1;2;EUR;;GRP_0952356;;POS_024264;CON_0952356;CTP_CKV;22/03/2011;;
5;20240331;1;2;EUR;;GRP_0952357;;POS_024265;CON_0952357;CTP_CKV;22/03/2011;;
5;20240331;1;2;EUR;;GRP_0952381;;POS_024290;CON_0952381;CTP_CKV;19/06/2013;;
5;20240331;1;2;EUR;;GRP_0952382;;POS_024291;CON_0952382;CTP_CKV;03/11/2021;;
5;20240331;1;2;EUR;;GRP_0952385;;POS_024294;CON_0952385;CTP_CKV;07/05/2015;;
5;20240331;1;2;EUR;;GRP_0952388;;POS_024297;CON_0952388;CTP_CKV;24/02/2017;;
5;20240331;1;2;EUR;;GRP_0952401;;POS_024312;CON_0952401;CTP_CKV;09/05/2011;;
5;20240331;1;2;EUR;;GRP_0952403;;POS_024315;CON_0952403;CTP_CKV;10/05/2011;;
5;20240331;1;2;EUR;;GRP_0952427;;POS_024342;CON_0952427;CTP_CKV;09/06/2011;;
5;20240331;1;2;EUR;;GRP_0952463;;POS_024345;CON_0952463;CTP_CKV;14/06/2011;;
5;20240331;1;2;EUR;;GRP_0952464;;POS_024346;CON_0952464;CTP_CKV;15/06/2011;;
5;20240331;1;2;EUR;;GRP_0952465;;POS_024347;CON_0952465;CTP_CKV;15/06/2011;;
5;20240331;1;2;EUR;;GRP_0952467;;POS_024349;CON_0952467;CTP_CKV;16/06/2011;;
5;20240331;1;2;EUR;;GRP_0952467;;POS_024350;CON_0952467;CTP_CKV;16/06/2011;;
5;20240331;1;5;EUR;;GRP_0952483;;POS_024366;CON_0952483;CTP_CKV;04/02/2016;;
5;20240331;1;2;EUR;;GRP_0952484;;POS_024367;CON_0952484;CTP_CKV;31/07/2014;;
5;20240331;1;2;EUR;;GRP_0952488;;POS_024371;CON_0952488;CTP_CKV;05/07/2011;;
5;20240331;1;2;EUR;;GRP_0952500;;POS_024383;CON_0952500;CTP_CKV;18/07/2011;;
